ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit
17658,8,1) $0 - $100,88.04,1,0,Urban,1,Web,No E-Mail,1
6320,10,5) $500 - $750,512.32,0,1,Surburban,1,Phone,Womens E-Mail,1
31973,11,1) $0 - $100,83.91,1,0,Surburban,0,Web,No E-Mail,0
63583,11,1) $0 - $100,29.99,0,1,Rural,0,Phone,Womens E-Mail,0
26806,4,"6) $750 - $1,000",812.77,0,1,Surburban,1,Multichannel,No E-Mail,0
38964,1,"7) $1,000 +",1748.15,0,1,Rural,1,Multichannel,Womens E-Mail,0
13250,8,3) $200 - $350,294.2,1,0,Rural,0,Web,No E-Mail,0
44997,1,4) $350 - $500,495.72,1,0,Rural,0,Web,Womens E-Mail,0
22061,2,1) $0 - $100,54.97,0,1,Urban,1,Phone,No E-Mail,0
63908,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,0
9972,10,1) $0 - $100,42.74,1,0,Surburban,0,Phone,Womens E-Mail,0
18211,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,0
23703,8,1) $0 - $100,37.54,1,0,Surburban,0,Web,Mens E-Mail,0
23245,4,2) $100 - $200,123.19,1,0,Surburban,1,Web,No E-Mail,0
52935,2,1) $0 - $100,93.28,0,1,Urban,1,Phone,Womens E-Mail,1
702,5,2) $100 - $200,135.64,1,0,Urban,0,Web,Mens E-Mail,0
52603,3,4) $350 - $500,370.64,1,0,Surburban,0,Phone,Mens E-Mail,0
25869,5,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,0
33697,1,"6) $750 - $1,000",763.02,1,0,Urban,1,Web,No E-Mail,0
6164,5,4) $350 - $500,476.82,1,0,Rural,0,Phone,Mens E-Mail,1
61129,5,2) $100 - $200,174.78,1,0,Urban,0,Web,No E-Mail,0
3680,7,2) $100 - $200,149.36,1,0,Urban,0,Web,Womens E-Mail,1
31043,12,1) $0 - $100,77.96,1,0,Urban,0,Phone,No E-Mail,0
14129,6,1) $0 - $100,44.32,0,1,Urban,0,Web,No E-Mail,1
47077,11,2) $100 - $200,181.9,0,1,Urban,0,Phone,No E-Mail,0
52156,2,3) $200 - $350,227.67,1,1,Surburban,1,Web,Mens E-Mail,1
24934,4,2) $100 - $200,120.72,0,1,Urban,1,Phone,No E-Mail,0
18857,5,3) $200 - $350,344.6,1,0,Urban,0,Web,Womens E-Mail,0
9899,1,3) $200 - $350,200.28,0,1,Urban,0,Multichannel,Womens E-Mail,0
3702,2,2) $100 - $200,192.85,1,0,Urban,1,Web,Mens E-Mail,0
42572,8,1) $0 - $100,95.39,1,0,Surburban,0,Web,Womens E-Mail,0
56494,7,2) $100 - $200,126.42,0,1,Surburban,0,Web,No E-Mail,0
63421,7,3) $200 - $350,219.69,1,0,Urban,0,Phone,Mens E-Mail,1
29028,3,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,1
38580,2,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0
58557,1,3) $200 - $350,220.39,0,1,Urban,0,Phone,Womens E-Mail,0
28472,2,2) $100 - $200,168.55,0,1,Rural,1,Phone,No E-Mail,0
41196,5,2) $100 - $200,172.66,0,1,Surburban,0,Web,Mens E-Mail,1
30366,1,1) $0 - $100,89.96,1,0,Urban,1,Phone,Mens E-Mail,0
61937,2,4) $350 - $500,398.1,1,1,Urban,1,Phone,Mens E-Mail,0
35143,1,1) $0 - $100,29.99,0,1,Rural,0,Phone,Womens E-Mail,0
11424,1,"6) $750 - $1,000",992.33,0,1,Urban,1,Multichannel,Womens E-Mail,0
30297,5,2) $100 - $200,184.26,0,1,Surburban,1,Web,Womens E-Mail,0
1485,4,2) $100 - $200,139.14,0,1,Surburban,1,Web,Womens E-Mail,1
24442,6,4) $350 - $500,447.54,0,1,Surburban,0,Phone,No E-Mail,0
50659,1,1) $0 - $100,67.68,0,1,Surburban,1,Phone,Womens E-Mail,0
38876,6,3) $200 - $350,307.01,1,0,Urban,0,Phone,No E-Mail,0
18397,3,3) $200 - $350,218.45,1,0,Rural,1,Web,Womens E-Mail,0
51371,1,2) $100 - $200,103.7,0,1,Surburban,1,Phone,Mens E-Mail,0
45400,7,2) $100 - $200,175.31,1,0,Urban,0,Web,Womens E-Mail,0
6546,3,"6) $750 - $1,000",847.96,1,1,Surburban,1,Phone,Womens E-Mail,0
63692,6,3) $200 - $350,344.6,1,1,Urban,0,Web,Mens E-Mail,1
55540,6,5) $500 - $750,557.07,0,1,Surburban,1,Web,No E-Mail,0
23811,10,3) $200 - $350,343.05,1,0,Urban,0,Phone,Womens E-Mail,0
57615,7,1) $0 - $100,46.52,0,1,Urban,0,Web,Mens E-Mail,0
41882,10,1) $0 - $100,38.95,0,1,Rural,1,Phone,Mens E-Mail,0
975,8,3) $200 - $350,254.17,1,1,Urban,0,Multichannel,Mens E-Mail,0
56591,6,3) $200 - $350,297.86,1,1,Urban,0,Web,Womens E-Mail,0
322,4,5) $500 - $750,557.47,1,0,Urban,1,Web,No E-Mail,0
38034,4,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0
59401,6,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0
62466,7,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0
34139,2,5) $500 - $750,565.33,0,1,Urban,1,Phone,No E-Mail,0
63283,7,5) $500 - $750,656.89,1,0,Urban,1,Web,No E-Mail,0
51628,7,2) $100 - $200,111.22,1,0,Rural,1,Phone,No E-Mail,0
24861,9,2) $100 - $200,144.37,0,1,Rural,1,Phone,Womens E-Mail,0
1507,6,3) $200 - $350,339.98,1,1,Rural,1,Phone,No E-Mail,0
2244,10,3) $200 - $350,223.78,1,1,Urban,0,Phone,Womens E-Mail,0
9194,10,3) $200 - $350,233.27,0,1,Urban,0,Web,Mens E-Mail,0
40138,2,"7) $1,000 +",1039.02,0,1,Surburban,1,Multichannel,Womens E-Mail,1
42807,1,4) $350 - $500,356.66,0,1,Urban,0,Web,No E-Mail,0
32619,11,1) $0 - $100,87.96,0,1,Surburban,0,Web,No E-Mail,0
51066,10,1) $0 - $100,70.57,1,0,Rural,0,Phone,Womens E-Mail,0
58581,5,1) $0 - $100,29.99,0,1,Rural,0,Web,Mens E-Mail,0
45774,5,1) $0 - $100,71.32,1,0,Surburban,0,Phone,No E-Mail,0
56281,10,5) $500 - $750,504.49,1,1,Urban,1,Multichannel,Mens E-Mail,1
27934,3,5) $500 - $750,664.5,1,0,Surburban,1,Web,Mens E-Mail,0
54270,1,4) $350 - $500,471.93,1,1,Surburban,1,Multichannel,No E-Mail,0
25398,3,1) $0 - $100,40.08,0,1,Surburban,0,Phone,Mens E-Mail,1
47850,3,3) $200 - $350,202.34,1,1,Urban,1,Phone,No E-Mail,0
62194,9,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Mens E-Mail,0
55821,3,2) $100 - $200,104.53,0,1,Surburban,1,Phone,Mens E-Mail,1
31088,12,2) $100 - $200,163.65,1,0,Surburban,1,Phone,Womens E-Mail,0
13735,6,1) $0 - $100,49.14,1,0,Urban,0,Web,No E-Mail,0
24588,6,1) $0 - $100,95.15,1,0,Surburban,1,Web,Mens E-Mail,1
58055,3,3) $200 - $350,219.84,0,1,Surburban,0,Multichannel,Mens E-Mail,0
58303,1,3) $200 - $350,229.95,0,1,Urban,0,Multichannel,Womens E-Mail,0
41519,2,2) $100 - $200,123.73,1,0,Urban,0,Web,No E-Mail,0
28782,5,1) $0 - $100,38.08,1,0,Surburban,0,Web,Womens E-Mail,0
17774,3,1) $0 - $100,37.68,0,1,Urban,1,Web,Mens E-Mail,0
15414,2,3) $200 - $350,316.31,0,1,Surburban,0,Web,No E-Mail,0
29543,10,1) $0 - $100,83.34,0,1,Surburban,1,Phone,No E-Mail,0
35887,5,5) $500 - $750,516.45,1,1,Surburban,1,Web,Mens E-Mail,0
24559,8,2) $100 - $200,133.78,1,0,Surburban,1,Phone,No E-Mail,0
25579,4,2) $100 - $200,135.87,0,1,Urban,1,Phone,Mens E-Mail,0
39058,6,2) $100 - $200,101.62,0,1,Urban,1,Web,Mens E-Mail,1
35555,10,1) $0 - $100,29.99,1,0,Urban,1,Phone,Mens E-Mail,0
20908,4,3) $200 - $350,256.4,1,1,Urban,1,Web,No E-Mail,0
36285,2,4) $350 - $500,389.17,1,0,Surburban,1,Web,Womens E-Mail,0
57220,12,1) $0 - $100,54.9,1,0,Surburban,1,Phone,Womens E-Mail,0
10872,2,1) $0 - $100,35.98,1,0,Urban,0,Phone,Mens E-Mail,0
1039,2,4) $350 - $500,414.86,1,1,Rural,0,Phone,Womens E-Mail,0
4496,7,3) $200 - $350,291.57,0,1,Rural,1,Web,Mens E-Mail,0
24839,3,2) $100 - $200,123.57,0,1,Surburban,1,Phone,No E-Mail,0
61525,2,2) $100 - $200,174.95,0,1,Surburban,0,Web,No E-Mail,0
44205,9,2) $100 - $200,151.16,1,0,Rural,0,Phone,Mens E-Mail,0
2577,6,3) $200 - $350,246.0,0,1,Urban,1,Phone,Womens E-Mail,0
25531,10,1) $0 - $100,73.73,1,0,Rural,1,Phone,Womens E-Mail,0
3719,1,2) $100 - $200,144.68,1,0,Rural,0,Web,Mens E-Mail,0
51213,2,2) $100 - $200,162.97,0,1,Urban,1,Phone,No E-Mail,0
23036,1,5) $500 - $750,526.72,1,0,Urban,1,Web,Mens E-Mail,0
8933,8,2) $100 - $200,184.04,1,0,Surburban,1,Web,No E-Mail,0
4085,5,4) $350 - $500,481.46,1,1,Rural,0,Multichannel,No E-Mail,0
23205,9,2) $100 - $200,130.25,1,0,Surburban,0,Phone,Womens E-Mail,0
45904,3,2) $100 - $200,126.51,1,0,Urban,0,Phone,Mens E-Mail,0
35418,2,2) $100 - $200,183.0,0,1,Urban,1,Web,Womens E-Mail,0
25831,8,1) $0 - $100,29.99,1,0,Rural,0,Phone,Womens E-Mail,1
2349,1,3) $200 - $350,243.67,1,0,Surburban,0,Web,Mens E-Mail,0
37684,1,2) $100 - $200,199.0,0,1,Surburban,0,Web,Mens E-Mail,0
26879,10,3) $200 - $350,247.53,0,1,Urban,0,Multichannel,Mens E-Mail,0
57931,9,1) $0 - $100,41.61,1,0,Urban,0,Web,Mens E-Mail,1
48036,1,1) $0 - $100,77.3,0,1,Urban,0,Web,Womens E-Mail,0
16512,3,4) $350 - $500,388.87,0,1,Surburban,0,Multichannel,Womens E-Mail,1
33387,6,4) $350 - $500,468.95,0,1,Surburban,1,Multichannel,Womens E-Mail,0
34266,3,1) $0 - $100,39.11,1,0,Rural,0,Phone,Mens E-Mail,0
25510,9,1) $0 - $100,67.11,1,0,Surburban,1,Phone,Mens E-Mail,0
6478,6,1) $0 - $100,46.71,1,0,Urban,1,Phone,No E-Mail,0
56088,9,1) $0 - $100,29.99,0,1,Surburban,0,Phone,No E-Mail,0
16582,9,3) $200 - $350,260.48,1,0,Surburban,0,Phone,Mens E-Mail,0
9774,3,4) $350 - $500,498.73,0,1,Rural,0,Phone,Mens E-Mail,1
52703,7,2) $100 - $200,128.11,1,0,Rural,1,Phone,Womens E-Mail,1
55976,10,3) $200 - $350,253.49,0,1,Urban,1,Phone,Womens E-Mail,0
59658,1,2) $100 - $200,138.25,0,1,Urban,1,Web,Mens E-Mail,0
38699,12,3) $200 - $350,283.65,1,0,Urban,0,Multichannel,No E-Mail,0
1008,10,1) $0 - $100,52.21,1,0,Surburban,1,Web,No E-Mail,0
49803,10,1) $0 - $100,50.52,0,1,Urban,1,Web,No E-Mail,0
32418,12,2) $100 - $200,150.9,0,1,Urban,1,Phone,Womens E-Mail,0
39524,6,5) $500 - $750,503.18,1,0,Surburban,1,Multichannel,Womens E-Mail,0
1125,9,3) $200 - $350,213.11,1,0,Surburban,0,Multichannel,Mens E-Mail,0
7086,6,3) $200 - $350,281.27,1,1,Rural,1,Web,No E-Mail,0
61556,8,5) $500 - $750,601.97,1,1,Urban,1,Multichannel,Mens E-Mail,1
36638,6,2) $100 - $200,130.37,1,0,Surburban,0,Web,Womens E-Mail,0
32447,11,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,0
18860,2,"7) $1,000 +",1480.71,0,1,Rural,1,Multichannel,Womens E-Mail,0
56882,4,3) $200 - $350,289.58,1,0,Urban,0,Phone,Mens E-Mail,0
56167,7,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0
36250,6,1) $0 - $100,56.37,0,1,Urban,0,Phone,Mens E-Mail,0
8970,10,2) $100 - $200,112.52,1,0,Urban,1,Phone,Womens E-Mail,0
50915,5,4) $350 - $500,493.45,1,0,Rural,0,Phone,Mens E-Mail,0
7060,2,5) $500 - $750,607.57,0,1,Surburban,1,Web,Mens E-Mail,0
58069,5,5) $500 - $750,651.54,1,1,Rural,1,Web,No E-Mail,0
16774,6,2) $100 - $200,181.96,1,0,Urban,0,Web,No E-Mail,0
950,1,4) $350 - $500,487.47,1,0,Urban,0,Phone,Mens E-Mail,1
15939,7,4) $350 - $500,367.03,1,1,Surburban,0,Phone,No E-Mail,1
8930,11,3) $200 - $350,335.82,0,1,Urban,0,Phone,Womens E-Mail,0
41594,4,5) $500 - $750,632.47,0,1,Rural,1,Multichannel,Womens E-Mail,0
5569,2,2) $100 - $200,128.79,0,1,Urban,0,Phone,No E-Mail,0
3394,9,1) $0 - $100,55.03,1,0,Surburban,0,Phone,No E-Mail,0
46734,12,2) $100 - $200,175.27,1,0,Surburban,0,Phone,Mens E-Mail,0
51078,4,4) $350 - $500,419.16,0,1,Rural,0,Phone,No E-Mail,0
48774,10,2) $100 - $200,198.91,0,1,Urban,0,Web,Womens E-Mail,0
41886,10,1) $0 - $100,41.19,0,1,Surburban,0,Web,Mens E-Mail,0
31326,3,1) $0 - $100,75.57,0,1,Surburban,0,Phone,Mens E-Mail,0
46434,6,3) $200 - $350,252.5,1,0,Surburban,1,Multichannel,No E-Mail,0
32125,9,2) $100 - $200,160.04,0,1,Urban,0,Web,Mens E-Mail,0
44897,8,2) $100 - $200,183.21,1,0,Rural,1,Web,No E-Mail,1
239,10,1) $0 - $100,47.47,0,1,Surburban,0,Phone,Womens E-Mail,0
29291,9,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
43091,8,3) $200 - $350,304.82,0,1,Urban,0,Phone,Mens E-Mail,0
3035,5,3) $200 - $350,303.33,1,0,Urban,0,Web,Mens E-Mail,0
35537,7,4) $350 - $500,390.14,0,1,Urban,1,Phone,Mens E-Mail,0
58183,9,1) $0 - $100,29.99,1,0,Urban,1,Phone,Mens E-Mail,0
9949,6,"6) $750 - $1,000",975.5,1,0,Surburban,1,Phone,No E-Mail,0
12093,12,1) $0 - $100,46.21,1,0,Rural,0,Web,No E-Mail,0
52260,8,1) $0 - $100,57.27,1,0,Urban,0,Web,No E-Mail,0
20119,6,2) $100 - $200,115.01,1,0,Surburban,0,Phone,Mens E-Mail,0
35886,9,2) $100 - $200,104.85,0,1,Urban,0,Web,No E-Mail,0
35245,1,2) $100 - $200,156.75,0,1,Urban,0,Phone,No E-Mail,0
21595,10,1) $0 - $100,30.53,1,0,Surburban,0,Phone,No E-Mail,0
3003,1,1) $0 - $100,68.18,1,0,Surburban,1,Web,Womens E-Mail,0
2973,7,1) $0 - $100,29.99,0,1,Rural,0,Web,No E-Mail,0
23828,4,1) $0 - $100,40.94,0,1,Rural,1,Phone,Mens E-Mail,0
61916,10,2) $100 - $200,135.49,1,0,Urban,1,Web,No E-Mail,0
22595,4,1) $0 - $100,37.08,0,1,Surburban,1,Web,Womens E-Mail,0
26471,8,"7) $1,000 +",1161.95,1,1,Surburban,1,Multichannel,Womens E-Mail,0
3164,5,2) $100 - $200,128.22,1,0,Surburban,1,Phone,No E-Mail,0
50795,3,5) $500 - $750,688.2,0,1,Surburban,1,Multichannel,Womens E-Mail,0
846,7,1) $0 - $100,46.51,1,0,Rural,1,Web,Womens E-Mail,0
56437,3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0
41799,8,1) $0 - $100,87.34,0,1,Rural,0,Phone,No E-Mail,0
2719,3,2) $100 - $200,137.69,1,0,Urban,1,Phone,Mens E-Mail,1
45027,5,3) $200 - $350,349.8,1,0,Rural,0,Web,Womens E-Mail,1
22354,10,1) $0 - $100,70.34,1,0,Rural,0,Web,No E-Mail,0
14024,5,5) $500 - $750,560.76,0,1,Rural,1,Multichannel,Womens E-Mail,1
19311,1,1) $0 - $100,60.23,0,1,Rural,1,Phone,Mens E-Mail,0
54568,10,2) $100 - $200,158.37,1,0,Urban,0,Web,No E-Mail,1
47488,10,3) $200 - $350,220.52,0,1,Urban,0,Web,Womens E-Mail,0
34799,4,1) $0 - $100,50.84,0,1,Surburban,0,Phone,No E-Mail,0
41548,10,3) $200 - $350,305.02,1,1,Surburban,0,Phone,No E-Mail,0
53009,4,1) $0 - $100,29.99,1,0,Surburban,1,Phone,No E-Mail,0
38701,11,2) $100 - $200,127.55,0,1,Surburban,0,Web,No E-Mail,0
22865,4,3) $200 - $350,328.45,1,0,Urban,1,Multichannel,No E-Mail,0
55711,1,5) $500 - $750,538.94,0,1,Surburban,1,Web,Mens E-Mail,0
12363,2,2) $100 - $200,147.36,0,1,Surburban,0,Phone,No E-Mail,1
55723,4,4) $350 - $500,376.22,1,0,Surburban,0,Multichannel,Mens E-Mail,1
28558,9,5) $500 - $750,557.71,1,1,Urban,1,Phone,Mens E-Mail,1
39719,6,3) $200 - $350,339.67,1,0,Urban,0,Phone,Womens E-Mail,0
14274,1,5) $500 - $750,565.8,0,1,Surburban,1,Phone,No E-Mail,0
58260,1,"7) $1,000 +",1037.99,1,1,Surburban,1,Multichannel,No E-Mail,0
8803,1,2) $100 - $200,160.0,0,1,Urban,1,Phone,Womens E-Mail,0
61919,10,1) $0 - $100,53.63,1,0,Surburban,0,Phone,Womens E-Mail,0
40446,1,1) $0 - $100,79.01,1,0,Surburban,1,Phone,No E-Mail,1
61423,10,1) $0 - $100,47.17,0,1,Urban,0,Web,Womens E-Mail,1
32372,12,3) $200 - $350,340.6,0,1,Surburban,1,Multichannel,No E-Mail,0
1554,1,1) $0 - $100,37.97,1,0,Surburban,0,Web,No E-Mail,0
34991,4,5) $500 - $750,655.36,1,0,Surburban,1,Multichannel,Mens E-Mail,0
30199,2,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,1
13657,9,2) $100 - $200,149.87,1,0,Surburban,0,Web,Mens E-Mail,0
27238,11,1) $0 - $100,37.85,0,1,Urban,1,Phone,No E-Mail,0
63474,6,3) $200 - $350,258.69,0,1,Urban,0,Phone,Womens E-Mail,0
1293,1,"6) $750 - $1,000",782.02,1,0,Urban,1,Multichannel,Mens E-Mail,0
16747,1,4) $350 - $500,443.16,0,1,Surburban,0,Multichannel,Mens E-Mail,0
41192,1,"7) $1,000 +",1092.29,1,1,Urban,1,Multichannel,Womens E-Mail,0
29832,11,3) $200 - $350,287.49,1,0,Urban,1,Web,Mens E-Mail,0
38311,10,2) $100 - $200,148.98,1,0,Urban,0,Phone,Womens E-Mail,0
12143,7,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,0
21057,11,1) $0 - $100,29.99,1,0,Surburban,1,Web,No E-Mail,0
12018,1,1) $0 - $100,58.37,1,0,Urban,1,Phone,No E-Mail,0
11084,3,2) $100 - $200,125.67,0,1,Urban,1,Phone,Womens E-Mail,0
48226,9,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0
29806,1,3) $200 - $350,245.66,1,1,Urban,0,Web,Womens E-Mail,0
38387,1,1) $0 - $100,31.5,1,0,Urban,0,Web,No E-Mail,0
43916,10,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,0
16698,5,4) $350 - $500,434.85,1,0,Surburban,0,Multichannel,Womens E-Mail,0
39366,10,1) $0 - $100,97.7,0,1,Surburban,0,Web,Womens E-Mail,0
32408,5,1) $0 - $100,49.56,0,1,Surburban,0,Phone,Womens E-Mail,0
50096,9,2) $100 - $200,169.05,0,1,Surburban,1,Phone,Womens E-Mail,0
28761,8,3) $200 - $350,288.67,0,1,Rural,0,Web,Womens E-Mail,0
7548,10,2) $100 - $200,136.06,0,1,Surburban,1,Web,Womens E-Mail,0
35449,7,3) $200 - $350,276.08,1,0,Surburban,0,Web,Womens E-Mail,0
20149,3,3) $200 - $350,324.67,1,1,Surburban,0,Multichannel,Womens E-Mail,0
59503,7,1) $0 - $100,35.33,0,1,Rural,1,Phone,No E-Mail,0
37175,10,3) $200 - $350,329.96,1,1,Surburban,0,Phone,No E-Mail,0
28331,1,3) $200 - $350,210.03,1,0,Surburban,1,Multichannel,Womens E-Mail,0
41654,7,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0
24373,3,4) $350 - $500,494.38,1,0,Surburban,0,Multichannel,Mens E-Mail,0
35217,11,2) $100 - $200,143.69,1,0,Urban,1,Phone,Mens E-Mail,0
23779,5,1) $0 - $100,64.5,1,0,Surburban,1,Web,Womens E-Mail,0
16952,11,1) $0 - $100,32.81,1,0,Urban,1,Web,No E-Mail,0
63223,10,1) $0 - $100,99.92,1,0,Urban,0,Phone,No E-Mail,0
22706,3,1) $0 - $100,29.99,0,1,Urban,0,Web,Mens E-Mail,1
44949,7,2) $100 - $200,133.31,0,1,Surburban,1,Web,Mens E-Mail,0
18908,1,2) $100 - $200,102.53,0,1,Surburban,1,Web,No E-Mail,0
61817,1,1) $0 - $100,29.99,1,0,Urban,0,Web,Womens E-Mail,0
12941,1,1) $0 - $100,29.99,1,0,Urban,0,Web,Womens E-Mail,0
22563,2,4) $350 - $500,351.08,1,1,Urban,0,Web,Mens E-Mail,0
45511,9,1) $0 - $100,84.7,0,1,Surburban,1,Web,Womens E-Mail,0
40257,5,3) $200 - $350,346.05,0,1,Surburban,1,Phone,No E-Mail,0
30738,6,1) $0 - $100,94.16,1,0,Surburban,1,Phone,Mens E-Mail,0
10970,4,2) $100 - $200,162.67,0,1,Urban,0,Phone,Womens E-Mail,0
5611,7,2) $100 - $200,109.0,0,1,Surburban,0,Phone,No E-Mail,0
6653,2,3) $200 - $350,245.99,0,1,Rural,1,Phone,No E-Mail,0
5983,5,1) $0 - $100,29.99,1,0,Rural,0,Web,Womens E-Mail,0
33749,4,1) $0 - $100,48.06,1,0,Urban,0,Web,Mens E-Mail,0
50520,9,2) $100 - $200,109.04,1,0,Rural,1,Web,Womens E-Mail,1
62746,10,3) $200 - $350,272.66,1,1,Surburban,1,Multichannel,Womens E-Mail,0
7333,7,2) $100 - $200,115.75,0,1,Surburban,1,Web,Womens E-Mail,0
903,7,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0
